DATE,RETAIL_SALES,MONTH,QUARTER,YEAR,DAY_OF_WEEK,SEASON,LAG_1,LAG_2,LAG_3,ROLLING_MEAN_3,ROLLING_MEAN_6
2017-12-01,128848.57,12,4,2017,4,1,98323.02,88135.7,88325.8,91594.84000000001,91009.62166666666
2018-01-01,75793.03,1,1,2018,0,1,128848.57,98323.02,88135.7,105102.43000000001,96834.06333333334
2018-02-01,77805.33,2,1,2018,3,1,75793.03,128848.57,98323.02,100988.20666666667,94423.40000000001
2019-01-01,76101.38,1,1,2019,1,1,77805.33,75793.03,128848.57,94148.97666666667,92871.90833333333
2019-02-01,78916.13,2,1,2019,4,1,76101.38,77805.33,75793.03,76566.58,90834.505
2019-03-01,84441.46,3,1,2019,4,2,78916.13,76101.38,77805.33,77607.61333333334,89297.91000000002
2019-04-01,79051.38,4,2,2019,0,2,84441.46,78916.13,76101.38,79819.65666666668,86984.31666666667
2019-05-01,92508.26,5,2,2019,2,2,79051.38,84441.46,78916.13,80802.99,78684.785
2019-06-01,87657.68,6,2,2019,5,3,92508.26,79051.38,84441.46,85333.7,81470.65666666666
2019-07-01,87252.15,7,3,2019,0,3,87657.68,92508.26,79051.38,86405.77333333333,83112.715
2019-08-01,87459.49,8,3,2019,3,3,87252.15,87657.68,92508.26,89139.36333333333,84971.17666666668
2019-09-01,81042.55,9,3,2019,6,4,87459.49,87252.15,87657.68,87456.44,86395.07
2019-10-01,85612.77,10,4,2019,1,4,81042.55,87459.49,87252.15,85251.39666666667,85828.585
2019-11-01,98370.89,11,4,2019,4,4,85612.77,81042.55,87459.49,84704.93666666666,86922.15000000001
