Country,Revenue
United Kingdom,6173920.874
Germany,187851.33
EIRE,179759.96
France,162395.63999999998
Netherlands,90528.75
Australia,47639.36
Switzerland,45047.56
Spain,42484.81
Belgium,36111.11
Norway,27270.46
Portugal,26064.36
Channel Islands,16512.72
Finland,15400.960000000001
Italy,15097.8
Denmark,13568.59
Japan,13139.71
Sweden,12213.76
Cyprus,10453.7
Hong Kong,8085.16
Austria,7997.13
Singapore,7287.75
Israel,6732.5199999999995
Poland,6589.94
Unspecified,4599.4
Greece,4222.53
Iceland,3891.06
USA,3300.61
Canada,2436.91
Malta,2042.56
United Arab Emirates,1625.23
Lithuania,1538.56
Lebanon,1491.68
European Community,1199.25
Brazil,1103.6
RSA,944.41
Czech Republic,716.35
Bahrain,496.86
Saudi Arabia,145.92
